nim,fakultas_prodi,smt,ips_smt1,ips_smt2,golongan_ukt,status_cuti,kode_wilayah,asal_daerah
1902041006,FBS/Bahasa Asing,2,2.25,2.56,6,1,2,"Kec. Gerokgak, Kab. Buleleng, Prov. Bali"
1902071006,FBS/Seni dan Desain,2,3.66,3.75,5,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1904071015,FHIS/Sejarah Sosiologi dan Perpustakaan,2,3.65,3.44,6,0,2,"Kec. Sawan, Kab. Buleleng, Prov. Bali"
1905021013,FTK/Teknik Informatika,2,2.88,3.38,1,1,2,"Kec. Gerokgak, Kab. Buleleng, Prov. Bali"
1905021019,FTK/Teknik Informatika,2,1.83,1.19,1,0,3,"Kec. Terara, Kab. Lombok Timur, Prov. Nusa Tenggara Barat"
1907021032,FE/Ekonomi dan Akutansi,2,3.34,1.21,3,0,2,"Kec. Banjar, Kab. Buleleng, Prov. Bali"
1907031003,FE/Manajemen,2,3.34,3.68,7,0,2,"Kec. Gerokgak, Kab. Buleleng, Prov. Bali"
1907031011,FE/Manajemen,2,3.36,3.75,1,1,2,"Kec. Banjar, Kab. Buleleng, Prov. Bali"
1907031021,FE/Manajemen,2,3.89,4.0,1,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1907031040,FE/Manajemen,2,3.23,3.8,1,0,3,"Kec. Pupuan, Kab. Tabanan, Prov. Bali"
1907031045,FE/Manajemen,2,3.09,3.8,7,0,2,"Kec. Sawan, Kab. Buleleng, Prov. Bali"
1907031047,FE/Manajemen,2,3.16,3.73,1,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1911021028,"FIP/Ilmu Pendidikan, Psikologi dan Bimbingan",2,3.3,3.33,1,0,3,"Kec. Raya, Kab. Simalungun, Prov. Sumatera Utara"
1911031007,FIP/Pendidikan Dasar,2,3.77,3.85,6,0,2,"Kec. Sawan, Kab. Buleleng, Prov. Bali"
1911031047,FIP/Pendidikan Dasar,2,3.88,3.95,6,0,3,"Kec. Kuta Utara, Kab. Badung, Prov. Bali"
1911031061,FIP/Pendidikan Dasar,2,3.86,0.0,1,0,3,"Kec. Karangasem, Kab. Karang Asem, Prov. Bali"
1911031164,FIP/Pendidikan Dasar,2,3.18,2.27,1,1,3,"Kec. Penebel, Kab. Tabanan, Prov. Bali"
1911031197,FIP/Pendidikan Dasar,2,3.54,3.77,7,0,3,"Kec. Kediri, Kab. Tabanan, Prov. Bali"
1911031205,FIP/Pendidikan Dasar,2,3.81,3.77,7,0,3,"Kec. Karangasem, Kab. Karang Asem, Prov. Bali"
1911031240,FIP/Pendidikan Dasar,2,3.44,1.26,1,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1911031249,FIP/Pendidikan Dasar,2,2.39,3.21,7,1,3,"Kec. Karangasem, Kab. Karang Asem, Prov. Bali"
1911031348,FIP/Pendidikan Dasar,2,3.39,3.55,7,1,3,"Kec. Petang, Kab. Badung, Prov. Bali"
1912011050,FBS/Bahasa dan Sastra Indonesia dan Daerah,2,2.77,1.18,7,0,3,"Kec. Jembrana, Kab. Jembrana, Prov. Bali"
1912021052,FBS/Bahasa Asing,2,3.43,3.51,2,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1912021094,FBS/Bahasa Asing,2,3.43,0.29,6,1,3,"Kec. Sukawati, Kab. Gianyar, Prov. Bali"
1912021102,FBS/Bahasa Asing,2,3.3,2.86,5,1,2,"Kec. Kubutambahan, Kab. Buleleng, Prov. Bali"
1912021121,FBS/Bahasa Asing,2,3.43,3.14,4,1,3,"Kec. Melaya, Kab. Jembrana, Prov. Bali"
1912021162,FBS/Bahasa Asing,2,3.58,0.44,7,0,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1912021175,FBS/Bahasa Asing,2,3.18,1.13,1,1,3,"Kec. Kediri, Kab. Tabanan, Prov. Bali"
1912021181,FBS/Bahasa Asing,2,3.18,3.4,7,1,3,"Kec. Nusapenida, Kab. Klungkung, Prov. Bali"
